1 5 10 0.000025
2 21 42 0.000077
3 85 170 0.000284
4 341 682 0.001132
5 1365 2730 0.004453
6 5461 10922 0.017098
7 21845 43690 0.064044
8 87831 174762 0.239035
9 349525 699050 0.950900
10 1398101 2796202 3.811805
